tree_type,policy_name,storage_type,config_name,cache_size,cache_page_limit,thread_count,timestamp,key_type,value_type,record_count,degree,operation,time_us,throughput_ops_sec,test_run_id,cache_hits,cache_misses,cache_evictions,cache_dirty_evictions,cache_hit_rate,perf_cache_misses,perf_cache_references,perf_cycles,perf_instructions,perf_branch_misses,perf_page_faults,perf_l1_dcache_misses,perf_l1_dcache_loads,perf_llc_misses,perf_llc_loads
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:51:28,uint64_t,uint64_t,100000,24,ycsb_a,25561,3912089.86,1,0,0,0,0,0.00,782483,2960853,1077590025,1921350180,7470930,2960,16776348,535934522,298729,589162
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:51:30,uint64_t,uint64_t,100000,24,ycsb_a,26029,3841758.14,2,0,0,0,0,0.00,782483,2960853,1077590025,1921350180,7470930,2960,16776348,535934522,298729,589162
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:51:32,uint64_t,uint64_t,100000,24,ycsb_a,25840,3869883.82,3,0,0,0,0,0.00,782483,2960853,1077590025,1921350180,7470930,2960,16776348,535934522,298729,589162
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:51:34,uint64_t,uint64_t,100000,24,ycsb_a,25567,3911172.58,4,0,0,0,0,0.00,782483,2960853,1077590025,1921350180,7470930,2960,16776348,535934522,298729,589162
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:51:36,uint64_t,uint64_t,100000,24,ycsb_a,25593,3907234.29,5,0,0,0,0,0.00,782483,2960853,1077590025,1921350180,7470930,2960,16776348,535934522,298729,589162
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:51:38,uint64_t,uint64_t,100000,24,ycsb_a,25547,3914247.14,6,0,0,0,0,0.00,782483,2960853,1077590025,1921350180,7470930,2960,16776348,535934522,298729,589162
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:51:41,uint64_t,uint64_t,100000,24,ycsb_a,25803,3875413.37,7,0,0,0,0,0.00,782483,2960853,1077590025,1921350180,7470930,2960,16776348,535934522,298729,589162
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:51:43,uint64_t,uint64_t,100000,24,ycsb_a,25290,3954131.44,8,0,0,0,0,0.00,782483,2960853,1077590025,1921350180,7470930,2960,16776348,535934522,298729,589162
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:51:45,uint64_t,uint64_t,100000,24,ycsb_a,25270,3957217.41,9,0,0,0,0,0.00,782483,2960853,1077590025,1921350180,7470930,2960,16776348,535934522,298729,589162
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:51:47,uint64_t,uint64_t,100000,24,ycsb_a,25524,3917813.98,10,0,0,0,0,0.00,782483,2960853,1077590025,1921350180,7470930,2960,16776348,535934522,298729,589162
